Trap ID,Location,Species,Heights
E-3-22-C,LL,ACRU,4
E-3-22-C,LL,ACRU,6
E-3-22-C,LL,ACRU,11
E-3-22-C,LL,ACRU,9
E-3-22-C,LL,ACRU,9
E-3-22-C,LL,SAAL,27
E-3-22-C,LR,ACRU,3
E-3-22-C,LR,ACRU,2
E-3-22-C,LR,ACRU,5
E-3-22-C,LR,ACRU,10
E-3-22-C,LR,QUSP,16
E-3-22-C,UL,ACRU,11
E-3-22-C,UL,ACRU,8
E-3-22-C,UL,ACRU,11
E-3-22-C,UL,ACRU,4
E-3-22-C,UL,SAAL,24
E-3-22-C,UL,SAAL,29
E-3-22-C,UR,ACRU,12
E-3-22-C,UR,ACRU,10
E-3-22-C,UR,ACRU,2
E-3-22-C,UR,ACRU,11
E-3-22-C,UR,QUSP,25
E-3-24-C,LL,SAAL,20
E-3-24-C,LL,SAAL,20
E-3-24-C,LL,SAAL,25
E-3-24-C,LL,SAAL,26
E-3-24-C,LL,SAAL,40
E-3-24-C,LL,SAAL,25
E-3-24-C,LR,ACRU,10
E-3-24-C,LR,ACRU,6
E-3-24-C,LR,SAAL,28
E-3-24-C,UL,SAAL,20
E-3-24-C,UL,ACRU,0
E-3-24-C,UL,ACRU,0
E-3-24-C,UR,ACRU,6
E-3-24-C,UR,SAAL,18
E-3-24-T,LR,SAAL,41
E-3-24-T,UL,ACRU,12
E-3-24-T,UL,SAAL,15
E-3-2-C,LL,ACRU,5
E-3-2-C,LL,ACRU,4
E-3-2-C,LL,ACRU,6
E-3-2-C,LL,ACRU,6
E-3-2-C,LL,SAAL,14
E-3-2-C,LR,ACRU,4
E-3-2-C,UL,ACRU,6
E-3-2-C,UL,ACRU,5
E-3-2-C,UL,ACRU,6
E-3-2-C,UL,ACRU,8
E-3-2-C,UL,ACRU,6
E-3-2-C,UL,ACRU,4
E-3-2-C,UL,ACRU,6
E-3-2-C,UL,ACRU,3
E-3-2-C,UL,ACRU,4
E-3-2-C,UL,SAAL,10
E-3-2-C,UL,SAAL,8
E-3-2-C,UR,ACRU,5
E-3-2-C,UR,ACRU,3
E-3-2-C,UR,ACRU,6
E-3-2-C,UR,ACRU,5
E-3-2-C,UR,ACRU,7
E-3-2-C,UR,ACRU,7
E-3-2-C,UR,ACRU,5
E-3-3-C,LL,SAAL,25
E-3-3-C,LR,ACRU,6
E-3-3-C,UL,ACRU,4
E-3-3-C,UL,SAAL,25
E-3-3-C,UL,SAAL,23
E-3-3-C,UL,SAAL,11
E-3-3-C,UR,ACRU,20
E-3-3-C,UR,ACRU,45
E-3-4-C,LL,ACRU,3
E-3-4-C,LL,ACRU,6
E-3-4-C,LL,ACRU,3
E-3-4-C,LL,SAAL,20
E-3-4-C,LR,ACRU,6
E-3-4-C,LR,ACRU,5
E-3-4-C,LR,ACRU,3
E-3-4-C,LR,SAAL,10
E-3-4-C,UL,ACRU,9
E-3-4-C,UL,ACRU,4
E-3-4-C,UL,ACRU,6
E-3-4-C,UL,ACRU,5
E-3-4-C,UL,ACRU,5
E-3-4-C,UL,ACRU,4
E-3-4-C,UL,ACRU,6
E-3-4-C,UL,ACRU,4
E-3-4-C,UR,ACRU,18
E-3-4-C,UR,ACRU,3
E-3-4-C,UR,ACRU,3
E-3-4-C,UR,ACRU,3
E-3-4-C,UR,ACRU,3
E-3-4-C,UR,ACRU,3
E-3-4-C,UR,ACRU,4
E-3-4-C,UR,ACRU,10
E-3-4-C,UR,ACRU,7
E-3-4-C,UR,ACRU,4
E-3-4-C,UR,SAAL,19
E-3-4-C,UR,SAAL,9
E-3-4-C,UR,SAAL,2
E-3-4-C,UR,SAAL,7
E-3-4-T,LL,SAAL,50
E-3-4-T,LR,SAAL,38
E-3-5-C,LL,ACRU,12
E-3-5-C,LL,ACRU,5
E-3-5-C,LL,ACRU,9
E-3-5-C,LL,ACRU,10
E-3-5-C,LL,SAAL,15
E-3-5-C,LL,SAAL,19
E-3-5-C,LR,ACRU,9
E-3-5-C,LR,ACRU,9.5
E-3-5-C,LR,SAAL,21
E-3-5-C,LR,SAAL,20
E-3-5-C,UL,ACRU,20
E-3-5-C,UL,ACRU,12
E-3-5-C,UL,ACRU,10
E-3-5-C,UL,ACRU,15
E-3-5-C,UL,ACRU,10
E-3-5-C,UL,ACRU,8
E-3-5-C,UL,ACRU,9
E-3-6-C,LL,ACRU,4
E-3-6-C,LL,SAAL,5
E-3-6-C,LL,SAAL,14
E-3-6-C,LR,ACRU,7
E-3-6-C,LR,SAAL,23
E-3-6-C,LR,SAAL,14
E-3-6-C,LR,SAAL,12
E-3-6-C,LR,SAAL,14
E-3-6-C,UL,SAAL,23
E-3-6-C,UL,SAAL,15
E-3-6-C,UL,SAAL,8
E-3-6-C,UR,ACRU,3
E-3-6-C,UR,ACRU,3
E-3-6-C,UR,ACRU,5
E-3-6-C,UR,ACRU,3
E-3-6-C,UR,SAAL,16
E-3-6-C,UR,SAAL,24
E-3-6-C,UR,SAAL,16
E-3-7-C,LL,SAAL,23
E-3-7-C,LL,SAAL,20
E-3-7-C,LL,SAAL,11
E-3-7-C,LL,SAAL,11
E-3-7-C,UL,ACRU,2
E-3-7-C,UR,ACRU,1.5
E-3-7-C,UR,ACRU,2
E-3-7-C,UR,SAAL,1.5
E-3-8-C,LR,ACRU,6
E-3-8-C,LR,SAAL,17
E-3-8-C,LR,SAAL,13
E-3-8-C,LR,SAAL,16
E-3-8-C,UL,ACRU,11
E-3-8-C,UL,ACRU,6
E-3-8-C,UL,ACRU,13
E-3-8-C,UL,SAAL,15
E-3-8-C,UL,SAAL,21
E-3-8-C,UR,ACRU,1
E-3-8-C,UR,SAAL,13
E-3-8-C,UR,SAAL,11
E-3-9-C,LL,ACRU,7
E-3-9-C,LL,ACRU,9
E-3-9-C,LR,ACRU,6
E-3-9-C,LR,SAAL,5
E-3-9-C,UL,SAAL,7
E-3-9-C,UR,ACRU,5
E-3-9-C,UR,SAAL,4
E-3-9-C,UR,SAAL,6
E-3-9-T,UR,ACRU,5
E-3-9-T,UR,SAAL,4
E-3-9-T,UR,SAAL,6
I-1-1-C,LL,ACRU,8
I-1-1-C,LL,ACRU,2
I-1-1-C,UR,ACRU,6
I-1-1-C,UR,ACRU,6
I-1-1-C,UR,ACPL,4
I-1-1-C,UR,ACPL,3
I-1-2-C,UL,ACRU,5
I-1-2-C,UL,ACRU,5
I-1-2-C,UR,ACRU,5
I-2-3-C,LL,ACRU,1.6
I-2-3-C,LL,ACRU,1.4
I-2-3-C,LL,ACRU,1.1
I-2-3-C,LL,ACRU,1
I-2-3-C,LR,ACRU,1.5
I-2-3-C,LR,ACRU,1.6
I-2-3-C,LR,ACRU,2.5
I-2-3-C,UL,ACRU,1.5
I-2-3-C,UL,ACRU,2
I-2-3-C,UL,ACRU,2.1
I-2-3-C,UL,ACRU,1.1
I-2-3-C,UL,ACRU,1
I-2-3-C,UL,ACRU,1
I-2-3-C,UR,ACRU,3
I-2-3-C,UR,ACRU,4
I-2-3-C,UR,ACRU,3
